A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
1217	0.00000	0.00000	0.00000	0.00000	0.49390	0.00000	0.00010
1218	0.00000	0.00000	0.00000	0.00000	0.49490	0.00000	0.00010
1219	0.00000	0.00000	0.00000	0.00000	0.49600	0.00000	0.00010
1220	0.00000	0.00000	0.00000	0.00000	0.49710	0.00000	0.00010
1221	0.00000	0.00000	0.00000	0.00000	0.49820	0.00000	0.00010
1222	0.00000	0.00000	0.00000	0.00000	0.49910	0.00000	0.00010
1223	0.00000	0.00000	0.00000	0.00000	0.50010	0.00000	0.00010
1224	0.00000	0.00000	0.00000	0.00000	0.50100	0.00000	0.00010
1225	0.00000	0.00000	0.00000	0.00000	0.50200	0.00000	0.00010
1226	0.00000	0.00000	0.00000	0.00000	0.50320	0.00000	0.00010
1227	0.00000	0.00000	0.00000	0.00000	0.50420	0.00000	0.00010
1228	0.00000	0.00000	0.00000	0.00000	0.50510	0.00000	0.00010
1229	0.00000	0.00000	0.00000	0.00000	0.50610	0.00000	0.00010
1230	0.00000	0.00000	0.00000	0.00000	0.50700	0.00000	0.00010
1231	0.00000	0.00000	0.00000	0.00000	0.50760	0.00000	0.00010
1232	0.00000	0.00000	0.00000	0.00000	0.50820	0.00000	0.00010
1233	0.00000	0.00000	0.00000	0.00000	0.50870	0.00000	0.00020
1234	0.00000	0.00000	0.00000	0.00000	0.50930	0.00000	0.00020
1235	0.00000	0.00000	0.00000	0.00000	0.50970	0.00000	0.00020
1236	0.00000	0.00000	0.00000	0.00000	0.51050	0.00000	0.00020
1237	0.00000	0.00000	0.00000	0.00000	0.51150	0.00000	0.00030
1238	0.00000	0.00000	0.00000	0.00000	0.51260	0.00000	0.00020
1239	0.00000	0.00000	0.00000	0.00000	0.51350	0.00000	0.00020
1240	0.00000	0.00000	0.00000	0.00000	0.51460	0.00000	0.00010
1241	0.00000	0.00000	0.00000	0.00000	0.51510	0.00000	0.00000
1242	0.00000	0.00000	0.00000	0.00000	0.51590	0.00000	0.00000
1243	0.00000	0.00000	0.00000	0.00000	0.51660	0.00000	0.00000
1244	0.00000	0.00000	0.00000	0.00000	0.51720	0.00000	0.00000
1245	0.00000	0.00000	0.00000	0.00000	0.51770	0.00000	0.00000
1246	0.00000	0.00000	0.00000	0.00000	0.51840	0.00000	0.00000
1247	0.00000	0.00000	0.00000	0.00000	0.51930	0.00000	0.00000
1248	0.00000	0.00000	0.00000	0.00000	0.51970	0.00000	0.00000
1249	0.00000	0.00000	0.00000	0.00000	0.52020	0.00000	0.00000
1250	0.00000	0.00000	0.00000	0.00000	0.52090	0.00000	0.00010
1251	0.00000	0.00000	0.00000	0.00000	0.52170	0.00000	0.00000
1252	0.00000	0.00000	0.00000	0.00000	0.52230	0.00000	0.00010
1253	0.00000	0.00000	0.00000	0.00000	0.52280	0.00000	0.00010
1254	0.00000	0.00000	0.00000	0.00000	0.52340	0.00000	0.00010
1255	0.00000	0.00000	0.00000	0.00000	0.52390	0.00000	0.00010
1256	0.00000	0.00000	0.00000	0.00000	0.52420	0.00000	0.00010
1257	0.00000	0.00000	0.00000	0.00000	0.52440	0.00000	0.00010
1258	0.00000	0.00000	0.00000	0.00000	0.52460	0.00000	0.00010
1259	0.00000	0.00000	0.00000	0.00000	0.52520	0.00000	0.00010
1260	0.00000	0.00000	0.00000	0.00000	0.52580	0.00000	0.00010
1261	0.00000	0.00000	0.00000	0.00000	0.52640	0.00000	0.00000
1262	0.00000	0.00000	0.00000	0.00000	0.52680	0.00000	0.00000
1263	0.00000	0.00000	0.00000	0.00000	0.52740	0.00000	0.00000
1264	0.00000	0.00000	0.00000	0.00000	0.52820	0.00000	0.00000
1265	0.00000	0.00000	0.00000	0.00000	0.52880	0.00000	0.00000
