# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
7.42  0.087624  0.087852  0.079791  0.077770  0.088736  0.063158  0.043130
7.43  0.086964  0.087984  0.080141  0.078569  0.088208  0.063194  0.043524
7.44  0.086111  0.087862  0.080327  0.079199  0.087460  0.063246  0.043908
7.45  0.085089  0.087438  0.080339  0.079662  0.086463  0.063290  0.044309
7.46  0.083901  0.086660  0.080167  0.079949  0.085140  0.063321  0.044656
7.47  0.082520  0.085478  0.079803  0.080054  0.083491  0.063328  0.044982
7.48  0.080893  0.083821  0.079224  0.079938  0.081425  0.063294  0.045278
7.49  0.078987  0.081648  0.078431  0.079577  0.078924  0.063232  0.045522
7.50  0.076716  0.078887  0.077390  0.078926  0.075972  0.063139  0.045725
7.51  0.073976  0.075501  0.076072  0.077932  0.072509  0.063008  0.045938
7.52  0.070699  0.071458  0.074459  0.076548  0.068529  0.062860  0.046065
7.53  0.066773  0.066740  0.072520  0.074719  0.064145  0.062696  0.046195
7.54  0.062162  0.061402  0.070247  0.072399  0.059235  0.062527  0.046358
7.55  0.056875  0.055486  0.067627  0.069550  0.054034  0.062372  0.046466
7.56  0.050953  0.049145  0.064665  0.066133  0.048505  0.062239  0.046650
7.57  0.044584  0.042552  0.061369  0.062124  0.042834  0.062146  0.046932
7.58  0.037940  0.035885  0.057781  0.057505  0.037111  0.062101  0.047257
7.59  0.031272  0.029367  0.053950  0.052323  0.031487  0.062107  0.047727
7.60  0.024829  0.023144  0.049914  0.046672  0.026041  0.062173  0.048364
7.61  0.018767  0.017378  0.045740  0.040681  0.020865  0.062286  0.049157
7.62  0.013272  0.012161  0.041482  0.034514  0.016124  0.062422  0.050144
7.63  0.008368  0.007540  0.037217  0.028370  0.011706  0.062561  0.051319
7.64  0.004149  0.003564  0.033009  0.022460  0.007915  0.062665  0.052794
7.65  0.000579  0.000194  0.028919  0.016975  0.004438  0.062684  0.054417
7.66  -0.002335  -0.002558  0.025024  0.012072  0.001580  0.062585  0.056304
7.67  -0.004630  -0.004756  0.021366  0.007828  -0.000853  0.062308  0.058487
7.68  -0.006347  -0.006423  0.018004  0.004276  -0.002829  0.061792  0.060834
7.69  -0.007535  -0.007615  0.014955  0.001385  -0.004351  0.060993  0.063401
7.70  -0.008255  -0.008394  0.012252  -0.000906  -0.005501  0.059843  0.066166
7.71  -0.008573  -0.008798  0.009900  -0.002657  -0.006291  0.058315  0.069157
7.72  -0.008586  -0.008911  0.007872  -0.003951  -0.006753  0.056397  0.072222
7.73  -0.008360  -0.008778  0.006142  -0.004850  -0.007057  0.054098  0.075367
7.74  -0.008005  -0.008475  0.004652  -0.005445  -0.007079  0.051487  0.078652
7.75  -0.007575  -0.008059  0.003365  -0.005820  -0.007116  0.048644  0.081930
7.76  -0.007170  -0.007592  0.002218  -0.006060  -0.006969  0.045680  0.085190
7.77  -0.006803  -0.007144  0.001156  -0.006267  -0.006919  0.042706  0.088360
7.78  -0.006560  -0.006770  0.000133  -0.006501  -0.006861  0.039789  0.091541
7.79  -0.006447  -0.006536  -0.000906  -0.006835  -0.006944  0.037001  0.094565
7.80  -0.006512  -0.006490  -0.002003  -0.007309  -0.007181  0.034355  0.097433
7.81  -0.006774  -0.006679  -0.003190  -0.007965  -0.007596  0.031854  0.100122
7.82  -0.007238  -0.007135  -0.004489  -0.008844  -0.008230  0.029481  0.102724
7.83  -0.007905  -0.007857  -0.005899  -0.009956  -0.009042  0.027227  0.105116
7.84  -0.008751  -0.008852  -0.007442  -0.011326  -0.010090  0.025072  0.107274
7.85  -0.009758  -0.010098  -0.009102  -0.012929  -0.011289  0.023004  0.109174
7.86  -0.010935  -0.011601  -0.010890  -0.014770  -0.012695  0.021010  0.110819
7.87  -0.012270  -0.013330  -0.012829  -0.016790  -0.014265  0.019074  0.112328
7.88  -0.013753  -0.015281  -0.014928  -0.018968  -0.016035  0.017187  0.113517
7.89  -0.015409  -0.017430  -0.017175  -0.021280  -0.017958  0.015316  0.114487
7.90  -0.017252  -0.019777  -0.019607  -0.023736  -0.020078  0.013451  0.115185
7.91  -0.019293  -0.022315  -0.022260  -0.026330  -0.022395  0.011535  0.115697
7.92  -0.021552  -0.025035  -0.025149  -0.029069  -0.024955  0.009577  0.115943
7.93  -0.024051  -0.027932  -0.028289  -0.031951  -0.027721  0.007539  0.115916
7.94  -0.026805  -0.031025  -0.031718  -0.034995  -0.030757  0.005451  0.115634
7.95  -0.029887  -0.034330  -0.035454  -0.038225  -0.034056  0.003281  0.115107
7.96  -0.033305  -0.037866  -0.039532  -0.041685  -0.037688  0.001043  0.114289
7.97  -0.037071  -0.041636  -0.043946  -0.045415  -0.041613  -0.001259  0.113246
7.98  -0.041172  -0.045655  -0.048695  -0.049443  -0.045828  -0.003579  0.112107
7.99  -0.045584  -0.049899  -0.053740  -0.053772  -0.050377  -0.005886  0.111032
8.00  -0.050242  -0.054345  -0.059017  -0.058357  -0.055090  -0.008118  0.109898
